id,game_id,year,month,day,home_team,away_team,home_score,away_score,tier
0,0021701214,2018,4,10,ATL,PHI,113,121,0
1,0021701202,2018,4,8,BOS,ATL,106,112,0
2,0021701184,2018,4,6,WAS,ATL,97,103,0
3,0021701172,2018,4,4,ATL,MIA,86,115,0
4,0021701158,2018,4,3,MIA,ATL,101,98,0
5,0021701147,2018,4,1,ATL,ORL,94,88,0
6,0021701130,2018,3,30,ATL,PHI,91,101,0
7,0021701120,2018,3,28,MIN,ATL,126,114,0
8,0021701101,2018,3,25,HOU,ATL,118,99,0
9,0021701087,2018,3,23,GSW,ATL,106,94,0
10,0021701077,2018,3,22,SAC,ATL,105,90,0
11,0021701062,2018,3,20,UTA,ATL,94,99,0
12,0021701041,2018,3,17,MIL,ATL,122,117,0
13,0021701021,2018,3,15,ATL,CHA,117,129,0
14,0021701007,2018,3,13,ATL,OKC,107,119,0
15,0021700993,2018,3,11,ATL,CHI,122,129,0
16,0021700978,2018,3,9,IND,ATL,112,87,0
17,0021700958,2018,3,6,TOR,ATL,106,90,0
18,0021700943,2018,3,4,ATL,PHX,113,112,0
19,0021700928,2018,3,2,ATL,GSW,109,114,0
20,0021700915,2018,2,28,ATL,IND,107,102,0
21,0021700897,2018,2,26,ATL,LAL,104,123,0
22,0021700874,2018,2,23,IND,ATL,116,93,0
23,0021700853,2018,2,14,DET,ATL,104,98,0
24,0021700848,2018,2,13,MIL,ATL,97,92,0
25,0021700834,2018,2,11,ATL,DET,118,115,0
26,0021700819,2018,2,9,ATL,CLE,107,123,0
27,0021700811,2018,2,8,ORL,ATL,100,98,0
28,0021700799,2018,2,6,ATL,MEM,108,82,0
29,0021700786,2018,2,4,NYK,ATL,96,99,0
30,0021700767,2018,2,2,BOS,ATL,119,110,0
31,0021700755,2018,1,31,ATL,CHA,110,123,0
32,0021700739,2018,1,29,ATL,MIN,105,100,0
33,0021700726,2018,1,27,ATL,WAS,104,129,0
34,0021700714,2018,1,26,CHA,ATL,121,110,0
35,0021700705,2018,1,24,ATL,TOR,93,108,0
36,0021700688,2018,1,22,ATL,UTA,104,90,0
37,0021700675,2018,1,20,ATL,CHI,97,113,0
38,0021700654,2018,1,17,ATL,NOP,94,93,0
39,0021700641,2018,1,15,ATL,SAS,102,99,0
40,0021700621,2018,1,12,ATL,BKN,105,110,0
41,0021700612,2018,1,10,DEN,ATL,97,110,0
42,0021700598,2018,1,8,LAC,ATL,108,107,0
43,0021700590,2018,1,7,LAL,ATL,132,113,0
44,0021700576,2018,1,5,POR,ATL,110,89,0
45,0021700551,2018,1,2,PHX,ATL,104,103,0
46,0021700533,2017,12,30,ATL,POR,104,89,0
47,0021700522,2017,12,29,TOR,ATL,111,98,0
48,0021700508,2017,12,27,ATL,WAS,113,99,0
49,0021700484,2017,12,23,ATL,DAL,112,107,0
50,0021700477,2017,12,22,OKC,ATL,120,117,0
51,0021700455,2017,12,20,ATL,IND,95,105,0
52,0021700443,2017,12,18,ATL,MIA,110,104,0
53,0021700425,2017,12,15,MEM,ATL,96,94,0
54,0021700413,2017,12,14,ATL,DET,91,105,0
55,0021700397,2017,12,12,CLE,ATL,123,114,0
56,0021700390,2017,12,10,NYK,ATL,111,107,0
57,0021700378,2017,12,9,ATL,ORL,117,110,0
58,0021700355,2017,12,6,ORL,ATL,110,106,0
59,0021700342,2017,12,4,ATL,BKN,90,110,0
60,0021700328,2017,12,2,BKN,ATL,102,114,0
61,0021700313,2017,11,30,ATL,CLE,114,121,0
62,0021700280,2017,11,25,ATL,TOR,78,112,0
63,0021700268,2017,11,24,ATL,NYK,116,104,0
64,0021700256,2017,11,22,ATL,LAC,103,116,0
65,0021700250,2017,11,20,SAS,ATL,96,85,0
66,0021700230,2017,11,18,ATL,BOS,99,110,0
67,0021700204,2017,11,15,ATL,SAC,126,80,0
68,0021700195,2017,11,13,NOP,ATL,106,105,0
69,0021700177,2017,11,11,WAS,ATL,113,94,0
70,0021700169,2017,11,10,DET,ATL,111,104,0
71,0021700146,2017,11,6,ATL,BOS,107,110,0
72,0021700136,2017,11,5,CLE,ATL,115,117,0
73,0021700123,2017,11,3,ATL,HOU,104,119,0
74,0021700107,2017,11,1,PHI,ATL,119,109,0
75,0021700085,2017,10,29,ATL,MIL,106,117,0
